id,Nombre,email,gender,Ventas,Ventas_normalizadas
1,Sharai Gallager,sgallager0@time.com,Masculino,29926.212606132074,0.49650136877249873
2,Joyce Chalfain,jchalfain1@craigslist.org,Masculino,48574.58,0.9647611803992634
3,Cary Cavnor,ccavnor2@fc2.com,Masculino,26782.38,0.41755984896859566
4,Cristine Osbiston,cosbiston3@delicious.com,Masculino,29926.212606132074,0.49650136877249873
5,Arnuad Garfield,agarfield4@issuu.com,Femenino,29926.212606132074,0.49650136877249873
6,Renault Kinsell,rkinsell5@oaic.gov.au,Femenino,29949.7,0.4970911363588997
7,Mireielle Belward,mbelward6@timesonline.co.uk,Femenino,16900.22,0.16941917893937025
8,Michell Grindell,mgrindell7@themeforest.net,Femenino,29741.51,0.49186349320260747
9,Leona Pellitt,lpellitt8@businessinsider.com,Masculino,29245.03,0.47939689886937364
10,Cristie Brocklebank,cbrocklebank9@aol.com,Masculino,21186.94,0.277058558693157
11,Dina Lantuff,dlantuffa@cnn.com,Masculino,13516.22,0.0844470648085629
12,Ayn Eckart,aeckartb@moonfruit.com,Femenino,41536.0,0.7880226984019768
13,Violet Budnk,vbudnkc@mapy.cz,Femenino,29926.212606132074,0.49650136877249873
14,Tracy Kilmartin,tkilmartind@mozilla.org,Femenino,40501.72,0.7620519660724226
15,Guglielma Glewe,gglewee@un.org,Femenino,21561.57,0.2864655040586488
16,Ardenia Jaquest,ajaquestf@wiley.com,Femenino,29926.212606132074,0.49650136877249873
17,Myrtie O'Cannon,mocannong@theatlantic.com,Femenino,24547.62,0.3614451084913607
18,Suzanna Wiseman,swisemanh@studiopress.com,Masculino,44719.46,0.8679592605919472
19,Arabel Arnao,aarnaoi@geocities.com,Masculino,14733.67,0.11501718902503788
20,Lyell Izkovitch,lizkovitchj@sohu.com,Femenino,44866.16,0.8716428921353839
21,Seana McCaffrey,smccaffreyk@oakley.com,Femenino,17167.57,0.17613232749518326
22,Anetta Fuzzey,afuzzeyl@123-reg.co.uk,Masculino,48135.5,0.9537358979310143
23,Kristo Pioli,kpiolim@answers.com,Femenino,16398.54,0.15682201279955243
24,Holly-anne Frodsham,hfrodshamn@who.int,Femenino,40097.11,0.7518922240220486
25,Bobbie Saltrese,bsaltreseo@intel.com,Femenino,46810.01,0.920452893333129
26,Cordell O'Tierney,cotierneyp@craigslist.org,Femenino,43963.45,0.8489758776120323
27,Hervey Smitherman,hsmithermanq@omniture.com,Masculino,30137.4,0.5018042763773254
28,Deane Devericks,ddevericksr@illinois.edu,Femenino,32721.16,0.5666823938733699
29,Ramona Nears,rnearss@loc.gov,Femenino,16448.43,0.1580747488438745
30,Joelie Bazoche,jbazochet@umn.edu,Masculino,39658.21,0.7408714613471042
31,Henrieta Seifenmacher,hseifenmacheru@harvard.edu,Masculino,12192.73,0.051214280136286816
32,Ali Birch,abirchv@about.com,Masculino,30553.95,0.5122638313835866
33,Drusie Oughton,doughtonw@oaic.gov.au,Masculino,16944.18,0.17052301290426097
34,Gris Hedin,ghedinx@bigcartel.com,Femenino,24032.94,0.3485215128350829
35,Phillis Flancinbaum,pflancinbaumy@plala.or.jp,Masculino,35154.72,0.6277889949561617
36,Torrey Borthe,tborthez@ftc.gov,Femenino,44014.58,0.8502597500102324
37,Nolana McGrey,nmcgrey10@ihg.com,Masculino,29926.212606132074,0.49650136877249873
38,Mortimer Crichley,mcrichley11@cloudflare.com,Femenino,10506.38,0.00887009436072922
39,Lula Seyffert,lseyffert12@sphinn.com,Femenino,29926.212606132074,0.49650136877249873
40,Warner Talboy,wtalboy13@yahoo.co.jp,Masculino,32586.94,0.5633121346657348
41,Cassie Surgen,csurgen14@china.com.cn,Femenino,22025.33,0.29811050040891574
42,Karena Cuchey,kcuchey15@dropbox.com,Masculino,31738.97,0.5420196395063079
43,Jobi Jozefczak,jjozefczak16@bloomberg.com,Masculino,34890.71,0.621159713676116
44,Quinn Knappen,qknappen17@prnewswire.com,Masculino,43694.16,0.8422140157283785
45,Thomas Rylands,trylands18@plala.or.jp,Femenino,19960.36,0.24625918051627593
46,Cassie Rubinovitsch,crubinovitsch19@tinyurl.com,Femenino,29926.212606132074,0.49650136877249873
47,Carleton Lathe,clathe1a@sina.com.cn,Masculino,44304.49,0.8575393793269174
48,Jordain Duer,jduer1b@bloglovin.com,Femenino,24841.06,0.3688133759767461
49,Sibby Dittson,sdittson1c@prnewswire.com,Masculino,18171.68,0.20134549224692233
50,Lanie Swan,lswan1d@nbcnews.com,Masculino,25818.95,0.3933681575037483
51,Mortimer Younghusband,myounghusband1e@sciencedirect.com,Femenino,26106.93,0.4005993245922205
52,Kim Grellis,kgrellis1f@army.mil,Femenino,26595.85,0.4128760876066514
53,Fina Synnot,fsynnot1g@psu.edu,Femenino,21739.84,0.29094185712782705
54,Swen Robillart,srobillart1h@imageshack.us,Femenino,31694.86,0.5409120390469965
55,Lizzy Admans,ladmans1i@google.de,Femenino,49756.26,0.9944331212462175
56,Hamid Cordeix,hcordeix1j@hubpages.com,Masculino,49848.48,0.9967487620160588
57,Joanie Aguirrezabala,jaguirrezabala1k@umich.edu,Masculino,28065.87,0.44978823512868726
58,Rachelle Mullaly,rmullaly1l@stanford.edu,Femenino,35461.73,0.6354980046368057
59,Aimee Haycroft,ahaycroft1m@nymag.com,Masculino,24064.81,0.349321767349666
60,Bondie Laite,blaite1n@liveinternet.ru,Masculino,10749.99,0.014987132399560787
61,Fabe Dodding,fdodding1o@berkeley.edu,Masculino,16488.34,0.15907688745940657
62,Jermaine Marritt,jmarritt1p@fotki.com,Femenino,47516.21,0.9381855490657461
63,Reinold Hinder,rhinder1q@businessinsider.com,Femenino,40056.97,0.7508843101150714
64,Querida Roots,qroots1r@plala.or.jp,Femenino,29926.212606132074,0.49650136877249873
65,Sarena Suffield,ssuffield1s@chron.com,Femenino,15411.24,0.13203094652255892
66,Ludovico Yosifov,lyosifov1t@pagesperso-orange.fr,Masculino,29926.212606132074,0.49650136877249873
67,Emmalee Redmire,eredmire1u@hp.com,Masculino,35581.98,0.6385174776640603
68,Boy Kenningham,bkenningham1v@paginegialle.it,Masculino,47050.35,0.9264878217935894
69,Yanaton McAneny,ymcaneny1w@patch.com,Masculino,18935.02,0.2205129312541949
70,Andrus Doggart,adoggart1x@howstuffworks.com,Masculino,29926.212606132074,0.49650136877249873
71,Boone Greensite,bgreensite1y@php.net,Masculino,10794.9,0.016114820829115917
72,Bing Nesfield,bnesfield1z@elpais.com,Femenino,30416.13,0.5088031763098549
73,Jamie Roycroft,jroycroft20@phpbb.com,Masculino,29626.22,0.48896856559086377
74,Lianna Mattia,lmattia21@dion.ne.jp,Femenino,12070.31,0.0481403184897462
75,Edmon Pepye,epepye22@bloglovin.com,Masculino,29926.212606132074,0.49650136877249873
76,Audi Rook,arook23@blogtalkradio.com,Masculino,48765.39,0.9695524124020115
77,Gun Ales0,gales24@g.co,Masculino,22883.24,0.31965258859862056
78,Ewart McKag,emckag25@w3.org,Femenino,46613.79,0.9155258164316081
79,Desi Walwood,dwalwood26@go.com,Masculino,14483.36,0.10873191423541545
80,Cortie Roslen,croslen27@europa.eu,Femenino,46093.42,0.9024593450869719
81,Shalne Lambert,slambert28@walmart.com,Femenino,29926.212606132074,0.49650136877249873
82,Elmo Tomsa,etomsa29@loc.gov,Masculino,29926.212606132074,0.49650136877249873
83,Nikolos Manuely,nmanuely2a@cpanel.net,Femenino,47271.82,0.9320489252559269
84,Mallorie Jossel,mjossel2b@gravatar.com,Masculino,33272.77,0.5805333004560219
